trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,distance,distance_ratio,pku_time,dpo_time,avg_speed,pku_LGA,dpo_LGA
14.2,-73.86353302001955,40.77000427246094,-73.82767486572266,40.89416122436523,8.768989641956832,1.6193427726334066,2016-05-17 00:24:33,2016-05-17 00:52:02,31.000606428138266,0.4069097696648555,8.649374384021144
7.72,-73.86344909667969,40.769920349121094,-73.95439910888672,40.73102951049805,5.459166254061072,1.4141353534080583,2016-05-17 00:24:39,2016-05-17 00:45:37,22.092209856915737,0.4136454632671233,5.267652065478115
5.65,-73.8635482788086,40.77005004882813,-73.84156799316406,40.7221908569336,3.49647369513899,1.615913772740511,2016-05-17 00:24:42,2016-05-17 00:40:55,20.90441932168551,0.4046187494806622,3.8134262480728913
8.25,-73.86302185058595,40.76879119873047,-73.95355224609375,40.73242950439453,5.35613648777477,1.5402893520040781,2016-05-17 00:24:46,2016-05-17 00:41:06,30.306122448979593,0.4761854748300526,5.177824913292772
8.47,-73.87335968017578,40.77405166625977,-73.97310638427734,40.76451110839844,5.253850631281817,1.612150895491583,2016-05-17 00:24:49,2016-05-17 00:43:58,26.5378590078329,0.17854239223105373,5.407958440544569
10.0,-73.86261749267578,40.76903533935547,-73.99637603759766,40.748130798339844,7.138174454709292,1.4009184089641669,2016-05-17 00:20:24,2016-05-17 00:41:14,28.8,0.48330530686850937,6.812753956573667
10.9,-73.8636703491211,40.76995468139648,-73.98490905761719,40.68882751464844,8.457093453324806,1.2888588804366108,2016-05-17 00:20:28,2016-05-17 00:44:57,26.71204901293397,0.4025386650698592,8.348493260033877
4.67,-73.86272430419923,40.76883316040039,-73.91658020019531,40.74646377563477,3.210237544207132,1.4547210091748528,2016-05-17 00:20:37,2016-05-17 00:34:11,20.653562653562652,0.4868556840958685,3.0371613786962177
4.11,-73.8627395629883,40.76900863647461,-73.88609313964845,40.74954223632813,1.8149164639085922,2.264567037509116,2016-05-17 00:20:47,2016-05-17 00:33:30,19.39187418086501,0.47912926042347487,1.8193958041370208
12.1,-73.8634033203125,40.76995468139648,-73.90147399902342,40.87921142578125,7.7963811383443815,1.5520021129405075,2016-05-17 00:20:51,2016-05-17 00:44:36,30.568421052631578,0.41448494544765896,7.507042765816028
9.39,-73.86331176757811,40.76995849609375,-73.97882843017578,40.73638916015625,6.467037225543017,1.4519786530549237,2016-05-17 00:20:51,2016-05-17 00:45:39,22.717741935483872,0.4184767442153062,6.213380418336354
6.96,-73.86331939697266,40.76995086669922,-73.83750915527342,40.708099365234375,4.475995265665221,1.5549614302296648,2016-05-17 00:20:58,2016-05-17 00:44:10,18.0,0.4183980558734647,4.794619559279396
